student_id,institution,program_id,country_home,country_host,cohort_year,subject_field,study_level,study_mode,gender,age,marital_status,language_proficiency,teaching_style_difference,cultural_distance,support_program,participates_in_buddy_program,participates_in_language_course,works_while_studying,work_hours_per_week,scholarship_status,entry_gpa,gpa_sem1,gpa_sem2,gpa_prev,credits_attempted_sem1,credits_earned_sem1,credits_attempted_sem2,credits_earned_sem2,failed_courses_sem1,failed_courses_sem2,attendance_rate,mean_weekly_engagement,std_weekly_engagement,low_engagement_weeks,engagement_trend,avg_assignment_score,avg_exam_score,late_submission_rate,missing_assignments_count,gpa_sem3,success_label,risk_category,p_success_proxy
S100010,Business_School_E,MIS,South Korea,Latvia,2019,Engineering,Bachelor,Full-time,Male,33,Other,3,High,0.6,0,1,0,1,19,None,4.05,4.41,4.08,4.25,35,35,33,33,0,0,0.297,0.097,0.074,35,-0.196,4.1,0.0,0.658,2,4.36,0,Very High Risk,0.342
S100011,Latvia_College_C,CS,Latvia,Latvia,2019,Social Sciences,Master,Full-time,Female,20,Single,3,Low,0.1,0,0,1,0,0,Full,6.66,6.28,7.28,6.78,26,23,23,20,1,1,0.745,0.606,0.123,0,0.313,69.0,54.1,0.258,1,7.54,1,Very Likely to Succeed,0.867
S100012,Business_School_E,BUS,Nigeria,Latvia,2019,Engineering,Master,Full-time,Female,18,Married,2,High,0.7993098862717636,1,0,0,0,0,Full,6.9,7.07,6.9,6.98,24,24,33,30,0,1,0.489,0.324,0.097,15,0.226,45.3,50.2,0.688,1,6.98,0,High Risk,0.634
S100013,Latvia_Uni_B,DATA,USA,Latvia,2023,Business,Master,Full-time,Male,33,Single,3,Medium,0.3,1,0,1,1,23,Full,6.8,7.16,7.2,7.18,28,25,31,28,1,1,0.984,0.911,0.058,0,0.07,64.7,66.7,0.0,0,7.36,1,Very Likely to Succeed,0.986
S100014,Latvia_Uni_A,MED,Italy,Latvia,2023,Computer Science,Bachelor,Full-time,Male,35,Other,3,Low,0.1,0,0,0,0,0,Full,6.37,5.87,6.12,6.0,21,21,31,31,0,0,0.488,0.32,0.117,19,-0.338,24.8,38.0,0.337,1,6.51,1,Moderate Risk,0.729
S100015,Business_School_E,BUS,USA,Latvia,2021,Social Sciences,Bachelor,Full-time,Male,35,Single,3,Medium,0.3,1,1,0,1,12,None,8.63,8.65,8.81,8.73,26,26,33,33,0,0,0.967,0.923,0.087,0,0.145,100.0,100.0,0.061,0,9.72,1,Very Likely to Succeed,1.0
S100016,Business_School_E,ENG,India,Latvia,2022,Engineering,Bachelor,Full-time,Male,32,Single,3,High,0.6,1,0,0,0,0,None,7.45,7.84,8.04,7.94,30,27,35,35,1,0,0.989,0.946,0.057,0,0.062,79.3,55.3,0.035,0,7.75,1,Very Likely to Succeed,1.0
S100017,Latvia_Uni_A,BUS,Ghana,Latvia,2018,Humanities,Bachelor,Full-time,Male,29,Single,1,High,0.7273848364360237,1,1,1,1,13,None,5.3,4.78,5.07,4.92,26,26,30,30,0,0,0.545,0.394,0.161,10,0.505,21.9,3.1,0.397,2,5.62,0,High Risk,0.574
S100018,Latvia_Uni_A,DATA,Spain,Latvia,2020,Engineering,Bachelor,Part-time,Male,33,Single,5,Low,0.1,0,1,0,1,12,Partial,4.99,5.05,4.46,4.76,22,22,23,20,0,1,0.704,0.561,0.073,0,-0.002,0.0,0.0,0.04,0,4.92,0,Moderate Risk,0.719
S100019,Business_School_E,DATA,Nigeria,Latvia,2018,Engineering,Bachelor,Full-time,Female,26,Single,1,High,0.7301785433745611,1,1,0,0,0,None,7.62,8.2,8.32,8.26,26,26,33,33,0,0,0.801,0.675,0.069,0,-0.025,71.2,76.7,0.47,1,7.85,1,Moderate Risk,0.79
S100020,Latvia_College_C,ENG,Latvia,Latvia,2023,Information Systems,Master,Full-time,Male,26,Single,3,Low,0.1,0,0,1,0,0,Partial,7.75,7.38,7.74,7.56,30,30,35,32,0,1,0.919,0.815,0.091,0,0.056,75.0,46.5,0.103,1,7.4,1,Very Likely to Succeed,0.982
S100021,Latvia_Uni_A,BUS,Brazil,Latvia,2022,Medicine,Master,Full-time,Female,31,Other,2,Medium,0.35,1,1,0,1,11,Partial,7.0,7.57,7.27,7.42,25,25,22,22,0,0,0.872,0.761,0.132,0,-0.334,77.1,59.2,0.229,0,7.87,1,Very Likely to Succeed,0.956
S100022,Latvia_Uni_A,DATA,Ghana,Latvia,2019,Social Sciences,Bachelor,Full-time,Male,38,Single,1,High,0.7292846839254709,1,0,1,1,12,None,7.98,8.77,8.81,8.79,22,22,32,32,0,0,0.861,0.717,0.073,0,-0.005,93.6,88.4,0.377,0,9.43,1,Very Likely to Succeed,0.928
S100023,Tech_Institute_D,CS,China,Latvia,2021,Computer Science,Master,Full-time,Female,19,Single,1,High,0.6,0,0,0,1,11,None,4.0,4.0,4.0,4.0,20,17,35,32,1,1,0.278,0.094,0.065,36,-0.044,0.0,0.0,0.687,5,3.52,0,Very High Risk,0.228
S100024,Business_School_E,MIS,Sri Lanka,Latvia,2020,Humanities,Master,Full-time,Male,22,Single,3,High,0.6,1,0,1,1,18,Partial,6.8,7.26,8.04,7.65,24,24,28,25,0,1,0.877,0.752,0.105,0,-0.249,71.5,49.3,0.191,2,8.11,1,Very Likely to Succeed,0.969
S100025,Tech_Institute_D,LAW,Nigeria,Latvia,2019,Computer Science,Master,Full-time,Male,31,Single,1,High,0.7552661356103647,1,1,1,0,0,Partial,8.0,9.32,8.93,9.12,32,32,29,29,0,0,0.847,0.73,0.074,0,-0.162,84.9,76.2,0.401,3,8.71,1,Very Likely to Succeed,0.945
S100026,Business_School_E,MIS,Pakistan,Latvia,2022,Computer Science,Bachelor,Full-time,Male,39,Other,2,High,0.6,0,1,0,1,16,Partial,6.7,6.2,6.38,6.29,22,19,21,18,1,1,0.561,0.393,0.078,6,-0.103,36.6,22.3,0.457,3,5.56,0,High Risk,0.525
S100027,Latvia_Uni_B,ENG,Spain,Latvia,2022,Humanities,Bachelor,Full-time,Female,18,Single,5,Low,0.1,0,1,0,0,0,None,7.03,6.62,7.32,6.97,26,26,29,26,0,1,0.974,0.914,0.093,0,0.188,56.9,49.2,0.023,0,7.43,1,Very Likely to Succeed,0.972
S100028,Business_School_E,CS,Nigeria,Latvia,2021,Medicine,Master,Full-time,Male,34,Single,2,High,0.7379029766661436,1,1,1,1,18,None,6.85,7.01,6.68,6.84,35,29,31,28,2,1,0.63,0.486,0.092,1,0.159,50.8,62.7,0.545,2,7.57,1,Moderate Risk,0.768
S100029,Tech_Institute_D,DATA,Germany,Latvia,2023,Medicine,Master,Full-time,Male,39,Single,4,Low,0.1,0,0,0,0,0,None,7.49,7.97,7.6,7.79,34,28,20,17,2,1,0.749,0.61,0.148,0,0.406,73.0,58.3,0.29,0,8.31,1,Very Likely to Succeed,0.935
S100030,Business_School_E,ENG,Vietnam,Latvia,2018,Computer Science,Bachelor,Full-time,Female,39,Single,3,High,0.6,0,0,1,0,0,Partial,6.37,6.33,7.1,6.72,31,31,22,19,0,1,0.672,0.519,0.166,3,0.494,51.6,64.8,0.271,1,7.28,1,Moderate Risk,0.747
S100031,Tech_Institute_D,BUS,Sri Lanka,Latvia,2021,Business,Bachelor,Full-time,Male,23,Single,2,High,0.6,0,0,0,0,0,None,6.41,6.84,6.19,6.52,21,21,24,24,0,0,0.357,0.168,0.104,31,-0.178,30.1,0.0,0.68,3,5.95,0,High Risk,0.478
S100032,Business_School_E,ENG,USA,Latvia,2022,Social Sciences,Bachelor,Full-time,Male,28,Married,2,Medium,0.3,0,0,1,0,0,None,8.53,9.14,9.11,9.13,35,35,35,35,0,0,0.87,0.751,0.061,0,-0.017,84.0,98.0,0.228,3,8.52,1,Very Likely to Succeed,1.0
S100033,Latvia_College_C,DATA,Kenya,Latvia,2022,Humanities,Master,Full-time,Other,24,Single,2,High,0.739427586916712,0,0,0,1,15,None,6.75,6.27,6.84,6.56,22,16,34,31,2,1,0.417,0.239,0.095,28,0.189,21.8,26.1,0.586,4,6.05,0,High Risk,0.452
S100034,Tech_Institute_D,MIS,India,Latvia,2022,Computer Science,Bachelor,Full-time,Female,27,Single,1,High,0.6,1,1,1,0,0,None,7.12,7.35,7.93,7.64,24,18,31,28,2,1,0.823,0.681,0.107,0,-0.312,60.4,50.0,0.292,1,7.51,1,Very Likely to Succeed,0.887
S100035,Tech_Institute_D,MED,India,Latvia,2021,Medicine,Master,Part-time,Female,30,Single,1,High,0.6,0,0,1,0,0,Partial,7.77,7.77,8.37,8.07,31,28,35,35,1,0,0.394,0.22,0.076,31,0.109,52.9,64.1,0.666,3,7.76,0,High Risk,0.627
S100036,Tech_Institute_D,CS,Vietnam,Latvia,2020,Social Sciences,Bachelor,Part-time,Female,19,Single,3,High,0.6,0,1,1,1,14,Partial,7.29,7.0,7.28,7.14,26,23,35,29,1,2,0.559,0.398,0.064,1,0.058,52.4,42.9,0.577,0,7.54,1,Moderate Risk,0.739
S100037,Latvia_College_C,DATA,Sri Lanka,Latvia,2021,Humanities,Master,Full-time,Female,19,Single,2,High,0.6,0,0,0,0,0,Partial,6.66,6.77,6.53,6.65,30,30,26,23,0,1,0.681,0.52,0.104,0,-0.242,62.7,72.4,0.555,2,5.71,0,High Risk,0.592
S100038,Latvia_Uni_A,DATA,Brazil,Latvia,2019,Social Sciences,Master,Full-time,Other,22,Married,2,Medium,0.35,0,0,1,0,0,None,5.44,5.41,5.5,5.46,23,20,24,21,1,1,0.33,0.14,0.079,35,-0.153,6.1,0.0,0.547,0,6.19,1,High Risk,0.579
S100039,Latvia_Uni_A,LAW,Ghana,Latvia,2018,Engineering,Bachelor,Full-time,Male,39,Single,2,High,0.7470845493599174,1,0,0,1,10,Partial,7.38,7.07,7.88,7.48,25,25,29,29,0,0,0.811,0.676,0.062,0,-0.05,64.0,47.3,0.284,0,7.68,1,Moderate Risk,0.791
S100040,Tech_Institute_D,DATA,South Korea,Latvia,2021,Medicine,Master,Full-time,Female,22,Single,1,High,0.6,0,1,0,0,0,None,5.69,5.63,4.88,5.25,24,21,21,12,1,3,0.457,0.299,0.068,19,-0.062,37.9,42.2,0.647,2,5.21,0,Very High Risk,0.373
S100041,Latvia_Uni_A,CS,Sri Lanka,Latvia,2020,Engineering,Master,Full-time,Male,31,Single,3,High,0.6,1,1,0,1,29,None,7.63,8.89,9.16,9.02,27,27,25,25,0,0,0.902,0.808,0.159,0,-0.419,99.6,93.1,0.382,4,9.25,1,Very Likely to Succeed,0.963
S100042,Latvia_Uni_B,ENG,Pakistan,Latvia,2018,Engineering,Bachelor,Full-time,Female,18,Single,3,High,0.6,1,1,0,1,17,Full,7.88,8.52,8.52,8.52,26,26,29,26,0,1,0.645,0.487,0.073,0,0.028,78.0,56.0,0.509,0,8.91,1,Very Likely to Succeed,0.905
S100043,Tech_Institute_D,MED,Canada,Latvia,2022,Medicine,Bachelor,Full-time,Female,19,Married,3,Medium,0.3,1,0,1,0,0,None,6.05,6.52,6.58,6.55,25,22,25,19,1,2,0.734,0.583,0.112,0,0.332,44.0,18.4,0.144,1,6.65,1,Moderate Risk,0.845
S100044,Latvia_College_C,MIS,Italy,Latvia,2020,Business,Bachelor,Full-time,Female,28,Other,3,Low,0.1,0,0,1,0,0,None,7.66,8.41,8.3,8.36,20,20,26,23,0,1,0.699,0.57,0.068,0,-0.054,92.5,90.9,0.431,0,8.88,1,Very Likely to Succeed,0.962
S100045,Latvia_Uni_B,BUS,Kenya,Latvia,2020,Humanities,Bachelor,Part-time,Female,35,Single,1,High,0.7496817396746414,1,1,1,1,27,Partial,7.33,7.16,7.85,7.51,32,32,32,29,0,1,0.851,0.74,0.166,0,0.49,69.2,68.5,0.419,0,7.62,1,Moderate Risk,0.77
S100046,Latvia_College_C,CS,Nigeria,Latvia,2020,Business,Master,Full-time,Male,31,Single,3,High,0.7863182542410438,0,1,0,0,0,Partial,4.87,4.84,5.43,5.14,23,20,21,21,1,0,0.294,0.102,0.079,36,-0.053,0.0,0.0,0.524,1,4.09,0,Very High Risk,0.359
S100047,Latvia_Uni_B,CS,India,Latvia,2018,Business,Master,Part-time,Male,23,Married,2,High,0.6,1,1,1,1,17,None,7.22,7.49,7.48,7.49,34,34,26,23,0,1,0.754,0.62,0.082,0,-0.083,57.5,50.8,0.281,0,7.71,1,Very Likely to Succeed,0.907
S100048,Tech_Institute_D,BUS,Sri Lanka,Latvia,2023,Engineering,Master,Full-time,Male,19,Single,1,High,0.6,1,1,1,0,0,None,7.06,7.23,7.17,7.2,34,34,27,27,0,0,0.542,0.391,0.088,5,0.121,39.8,36.1,0.483,3,7.67,1,Moderate Risk,0.771
S100049,Latvia_Uni_A,MIS,Vietnam,Latvia,2023,Social Sciences,Bachelor,Full-time,Female,26,Other,1,High,0.6,0,1,1,0,0,Partial,6.76,6.24,6.83,6.54,33,33,24,21,0,1,0.525,0.355,0.102,11,0.209,9.2,3.4,0.386,4,6.45,0,High Risk,0.566
S100050,Latvia_College_C,MED,Latvia,Latvia,2022,Medicine,Bachelor,Full-time,Male,21,Other,4,Low,0.1,0,0,0,1,12,Partial,5.49,5.53,5.3,5.41,20,14,30,24,2,2,0.342,0.179,0.133,27,-0.327,11.1,5.9,0.371,0,4.91,0,High Risk,0.648
S100051,Latvia_Uni_A,BUS,France,Latvia,2018,Computer Science,Master,Full-time,Male,31,Single,3,Low,0.1,0,0,0,1,12,Partial,7.52,7.19,7.32,7.26,33,33,25,25,0,0,0.707,0.563,0.117,0,-0.343,62.4,69.5,0.335,0,7.05,1,Very Likely to Succeed,0.886
S100052,Tech_Institute_D,MIS,Spain,Latvia,2020,Humanities,Master,Full-time,Male,29,Married,4,Low,0.1,0,0,0,1,12,None,6.72,6.53,7.06,6.79,32,29,32,29,1,1,0.771,0.645,0.065,0,-0.038,81.0,84.7,0.326,1,6.86,1,Very Likely to Succeed,0.88
S100053,Latvia_Uni_B,LAW,Sri Lanka,Latvia,2023,Medicine,Master,Part-time,Male,30,Single,2,High,0.6,0,0,0,1,10,Partial,5.81,5.49,5.89,5.69,23,20,30,27,1,1,0.356,0.176,0.097,31,0.246,39.1,17.2,0.623,1,5.04,0,High Risk,0.425
S100054,Latvia_College_C,BUS,Canada,Latvia,2020,Humanities,Master,Full-time,Female,35,Single,2,Medium,0.3,1,1,0,0,0,None,8.15,9.22,8.46,8.84,27,27,24,24,0,0,0.917,0.813,0.077,0,-0.147,70.8,90.7,0.225,1,8.97,1,Very Likely to Succeed,1.0
S100055,Business_School_E,BUS,India,Latvia,2019,Social Sciences,Bachelor,Full-time,Female,18,Single,3,High,0.6,0,0,0,1,29,Partial,5.38,4.89,4.0,4.45,31,28,28,25,1,1,0.313,0.101,0.076,36,-0.135,21.1,0.0,0.679,4,3.72,0,Very High Risk,0.296
S100056,Latvia_Uni_B,LAW,India,Latvia,2022,Computer Science,Master,Full-time,Male,31,Single,1,High,0.6,0,1,1,0,0,Full,5.45,5.74,5.82,5.78,30,30,23,17,0,2,0.292,0.104,0.069,36,0.161,2.5,0.0,0.583,1,5.45,0,High Risk,0.44
S100057,Business_School_E,ENG,India,Latvia,2019,Business,Bachelor,Full-time,Other,21,Single,2,High,0.6,1,0,1,1,18,Full,6.98,8.16,8.27,8.22,35,35,30,30,0,0,0.936,0.876,0.135,0,-0.357,76.2,84.9,0.114,0,8.57,1,Very Likely to Succeed,1.0
S100058,Latvia_Uni_B,CS,Sri Lanka,Latvia,2023,Medicine,Bachelor,Full-time,Female,20,Single,2,High,0.6,0,1,1,0,0,Full,6.48,6.39,7.01,6.7,27,21,29,26,2,1,0.628,0.478,0.085,0,0.071,46.8,47.5,0.403,4,6.96,1,Moderate Risk,0.673
S100059,Tech_Institute_D,MED,USA,Latvia,2020,Business,Bachelor,Full-time,Female,22,Single,4,Medium,0.3,0,0,0,0,0,Partial,7.6,8.02,7.88,7.95,35,35,21,18,0,1,0.761,0.605,0.074,0,-0.079,82.7,86.6,0.294,3,7.45,1,Very Likely to Succeed,0.933
S100060,Latvia_Uni_A,BUS,Spain,Latvia,2021,Humanities,Bachelor,Full-time,Female,23,Single,5,Low,0.1,1,0,0,0,0,Full,7.54,7.85,8.04,7.95,31,31,20,17,0,1,0.849,0.74,0.14,0,0.433,61.1,66.5,0.125,1,8.54,1,Very Likely to Succeed,0.985
S100061,Tech_Institute_D,LAW,Pakistan,Latvia,2018,Social Sciences,Master,Part-time,Male,35,Single,2,High,0.6,1,0,1,1,24,Partial,5.68,5.69,6.23,5.96,20,17,23,23,1,0,0.306,0.114,0.075,36,-0.012,0.0,0.0,0.447,3,5.57,0,High Risk,0.611
S100062,Latvia_Uni_B,MED,Pakistan,Latvia,2021,Humanities,Bachelor,Full-time,Female,39,Single,1,High,0.6,0,0,0,0,0,None,7.57,6.73,7.62,7.18,33,30,29,26,1,1,0.281,0.103,0.064,36,0.079,53.9,32.9,0.884,2,7.04,0,High Risk,0.443
S100063,Business_School_E,MIS,Nigeria,Latvia,2021,Medicine,Master,Full-time,Male,32,Single,2,High,0.7688077736485377,1,1,1,1,22,None,5.69,5.8,5.96,5.88,27,24,33,30,1,1,0.572,0.403,0.066,1,-0.014,26.9,3.1,0.48,1,5.85,0,High Risk,0.644
S100064,Tech_Institute_D,CS,Canada,Latvia,2021,Social Sciences,Bachelor,Full-time,Female,31,Single,3,Medium,0.3,0,0,1,0,0,None,7.9,7.56,8.13,7.84,32,32,20,20,0,0,0.906,0.809,0.156,0,0.4,68.3,76.6,0.08,0,7.79,1,Very Likely to Succeed,0.999
S100065,Latvia_Uni_B,MED,Kenya,Latvia,2019,Business,Bachelor,Part-time,Female,30,Single,2,High,0.7517242170169074,1,1,1,1,30,None,6.63,7.38,7.37,7.38,27,24,34,31,1,1,0.556,0.395,0.124,9,0.342,21.5,13.1,0.431,2,6.77,1,Moderate Risk,0.699
S100066,Latvia_College_C,LAW,Vietnam,Latvia,2022,Engineering,Bachelor,Full-time,Other,37,Married,1,High,0.6,0,1,0,1,11,None,4.91,4.57,4.29,4.43,29,26,34,25,1,3,0.274,0.08,0.062,36,-0.16,0.0,0.0,0.52,5,3.76,0,Very High Risk,0.252
S100067,Tech_Institute_D,MED,Pakistan,Latvia,2018,Medicine,Bachelor,Full-time,Female,30,Single,2,High,0.6,0,0,1,1,13,None,7.97,7.83,9.02,8.42,34,34,21,18,0,1,0.738,0.603,0.08,0,0.091,64.5,60.7,0.355,3,8.04,1,Moderate Risk,0.826
S100068,Business_School_E,LAW,India,Latvia,2023,Business,Master,Full-time,Male,31,Single,3,High,0.6,0,1,1,0,0,Partial,8.48,8.45,8.59,8.52,35,32,33,27,1,2,0.829,0.726,0.165,0,0.478,92.7,79.1,0.464,0,8.37,1,Very Likely to Succeed,0.929
S100069,Latvia_Uni_B,DATA,Italy,Latvia,2020,Medicine,Bachelor,Full-time,Male,38,Single,5,Low,0.1,1,0,0,1,27,Partial,5.8,6.63,6.42,6.53,27,21,21,21,2,0,0.703,0.557,0.052,0,-0.015,40.9,30.4,0.204,1,6.06,1,Moderate Risk,0.836
S100070,Tech_Institute_D,MIS,Italy,Latvia,2022,Medicine,Bachelor,Full-time,Male,28,Single,3,Low,0.1,0,1,0,0,0,None,6.9,7.22,7.26,7.24,20,14,29,29,2,0,0.781,0.64,0.09,0,-0.071,46.5,67.1,0.212,0,7.82,1,Very Likely to Succeed,0.908
S100071,Business_School_E,ENG,Kenya,Latvia,2020,Information Systems,Bachelor,Full-time,Male,32,Single,2,High,0.7859715516700262,1,1,0,1,10,None,7.45,7.18,7.22,7.2,25,25,20,14,0,2,0.566,0.402,0.107,9,0.279,61.3,60.4,0.712,2,7.22,1,Moderate Risk,0.677
S100072,Latvia_Uni_A,BUS,Nigeria,Latvia,2021,Computer Science,Master,Full-time,Female,29,Single,2,High,0.7035619767787757,1,0,1,1,10,None,8.25,8.95,8.82,8.88,34,34,33,33,0,0,0.991,0.941,0.07,0,-0.075,99.7,94.9,0.093,1,8.99,1,Very Likely to Succeed,1.0
S100073,Latvia_Uni_B,CS,Kenya,Latvia,2023,Humanities,Master,Part-time,Other,24,Single,3,High,0.7198271843325541,0,1,0,0,0,None,6.31,5.89,6.23,6.06,23,20,30,30,1,0,0.744,0.594,0.12,0,-0.278,45.1,33.2,0.297,2,5.42,0,High Risk,0.592
S100074,Latvia_Uni_B,MED,Brazil,Latvia,2019,Business,Bachelor,Full-time,Male,29,Single,4,Medium,0.35,1,1,0,0,0,None,7.66,8.81,8.31,8.56,26,23,22,22,1,0,0.932,0.824,0.074,0,-0.109,94.9,73.7,0.174,0,9.35,1,Very Likely to Succeed,1.0
S100075,Latvia_College_C,CS,Vietnam,Latvia,2020,Information Systems,Master,Full-time,Female,26,Single,1,High,0.6,0,1,1,0,0,Partial,6.9,6.97,7.62,7.3,30,30,23,23,0,0,0.698,0.535,0.098,0,0.215,86.0,80.8,0.539,1,7.34,1,Moderate Risk,0.67
S100076,Latvia_Uni_B,MIS,Bangladesh,Latvia,2022,Humanities,Bachelor,Part-time,Female,28,Single,3,High,0.6,0,0,1,1,30,Full,6.47,5.97,6.4,6.19,34,34,23,23,0,0,0.416,0.236,0.069,32,-0.028,59.2,45.7,0.677,2,6.08,0,High Risk,0.537
S100077,Latvia_Uni_B,LAW,India,Latvia,2020,Information Systems,Bachelor,Full-time,Other,29,Married,2,High,0.6,0,1,0,1,27,None,4.51,4.61,4.83,4.72,33,30,35,32,1,1,0.324,0.139,0.129,31,0.334,0.0,0.0,0.711,1,4.12,0,Very High Risk,0.277
S100078,Latvia_Uni_A,MIS,Kenya,Latvia,2018,Engineering,Master,Part-time,Other,31,Single,2,High,0.7306948315234197,0,1,1,1,27,None,6.67,5.87,6.23,6.05,22,19,25,22,1,1,0.481,0.3,0.125,18,0.381,44.7,39.9,0.683,4,6.48,0,High Risk,0.458
S100079,Tech_Institute_D,CS,Vietnam,Latvia,2018,Medicine,Bachelor,Full-time,Male,36,Single,3,High,0.6,0,0,0,1,27,Full,7.54,7.3,7.61,7.46,30,30,24,24,0,0,0.413,0.24,0.077,27,-0.123,38.0,43.0,0.603,5,7.75,0,High Risk,0.551
S100080,Tech_Institute_D,BUS,Spain,Latvia,2022,Business,Bachelor,Full-time,Female,20,Single,3,Low,0.1,0,1,1,0,0,None,8.09,8.08,8.22,8.15,21,18,24,21,1,1,0.993,0.943,0.054,0,-0.037,95.7,100.0,0.0,0,8.44,1,Very Likely to Succeed,1.0
S100081,Latvia_Uni_B,ENG,USA,Latvia,2023,Medicine,Bachelor,Full-time,Male,36,Married,3,Medium,0.3,0,0,0,0,0,Partial,5.59,5.34,4.82,5.08,22,19,20,14,1,2,0.312,0.132,0.078,36,0.145,0.0,0.0,0.568,3,5.96,0,High Risk,0.54
S100082,Tech_Institute_D,ENG,Brazil,Latvia,2020,Medicine,Master,Part-time,Female,21,Single,3,Medium,0.35,0,1,0,0,0,None,6.76,7.49,7.2,7.35,30,30,30,27,0,1,0.913,0.795,0.098,0,0.244,47.1,67.1,0.24,3,8.08,1,Very Likely to Succeed,0.872
S100083,Latvia_Uni_A,CS,Sri Lanka,Latvia,2020,Medicine,Bachelor,Part-time,Male,25,Single,3,High,0.6,0,0,0,1,24,None,6.02,6.09,5.52,5.81,32,32,24,21,0,1,0.314,0.13,0.135,28,0.352,36.6,13.9,0.75,1,6.07,0,High Risk,0.425
S100084,Business_School_E,ENG,Kenya,Latvia,2023,Social Sciences,Bachelor,Full-time,Female,18,Single,3,High,0.7848607767861429,1,0,1,0,0,None,6.68,5.67,5.81,5.74,24,21,31,25,1,2,0.56,0.383,0.06,4,0.052,32.1,51.6,0.539,1,6.27,1,Moderate Risk,0.725
S100085,Latvia_Uni_B,LAW,India,Latvia,2020,Computer Science,Master,Full-time,Male,20,Single,1,High,0.6,1,1,1,0,0,None,5.34,4.65,4.88,4.77,25,19,28,25,2,1,0.316,0.121,0.08,36,-0.165,0.0,0.0,0.587,3,5.38,0,High Risk,0.528
